RowNumber,Exited,P_Hat
120,0,0.284890421
121,0,0.128432369
122,0,0.202231965
123,0,0.222778048
124,0,0.380162394
125,0,0.127030127
126,1,0.287570357
127,1,0.230735255
128,1,0.675205585
129,0,0.228158901
130,0,0.070741631
131,0,0.059933245
132,0,0.162298843
133,0,0.074520283
134,0,0.020045157
135,0,0.136030455
136,0,0.417727826
137,0,0.178833792
138,0,0.090160184
139,1,0.529661478
140,1,0.098195958
141,0,0.436104208
142,0,0.038419393
143,0,0.166144337
144,1,0.30460705
145,1,0.161802595
146,0,0.042502075
147,0,0.168582977
148,0,0.17699158
149,0,0.259551389
150,0,0.039132773
151,0,0.138998584
152,1,0.398003521
153,0,0.167699066
154,0,0.196519061
155,0,0.118927624
156,1,0.400334204
157,0,0.14759251
158,0,0.044180674
159,0,0.626110316
160,0,0.382160525
161,0,0.038100398
162,0,0.079222774
163,0,0.44245678
164,0,0.070260052
165,1,0.112102384
166,0,0.087601647
167,1,0.229652519
168,0,0.334743672
169,1,0.221512049
170,0,0.122034913
171,0,0.195313853
172,0,0.165373352
173,1,0.47652785
174,0,0.138000577
175,0,0.063964804
176,0,0.114907476
177,0,0.053237385
178,0,0.33204617
179,0,0.137297683
180,1,0.757409786
181,0,0.169508483
182,0,0.296335164
183,0,0.573495579
184,0,0.06782839
185,1,0.179552682
186,0,0.100258855
187,0,0.281850374
188,0,0.092920553
189,0,0.02990234
190,0,0.359524369
191,1,0.27004299
192,0,0.240839395
193,0,0.169448154
194,0,0.129581213
195,0,0.091726772
196,0,0.064238671
197,0,0.057134547
198,0,0.130888705
199,0,0.191496851
200,0,0.164615944
201,0,0.040686255
202,0,0.089323131
203,1,0.134921168
204,1,0.110216521
205,0,0.174960427
206,0,0.055950688
207,1,0.324495148
208,0,0.061157613
209,1,0.225419831
210,0,0.11479034
211,0,0.259551553
212,0,0.032354449
213,0,0.253468541
214,0,0.080927814
215,0,0.16873668
216,1,0.243561832
217,0,0.256353451
218,0,0.149954224
219,1,0.212588599
220,1,0.165480681
221,0,0.066282264
222,0,0.035211389
223,0,0.070792523
224,1,0.09582721
225,1,0.214172832
226,0,0.185043857
227,0,0.04738791
228,1,0.19923364
229,1,0.518716069
230,0,0.325989014
231,0,0.385902825
232,0,0.157520216
233,0,0.085425829
234,0,0.038102728
235,0,0.515851064
236,1,0.376152234
237,0,0.048129527
238,1,0.521776357
239,1,0.299492318
240,0,0.030250444
241,0,0.135075936
242,0,0.469049831
243,0,0.060221665
244,1,0.587703958
245,0,0.113550951
246,1,0.324228521
247,0,0.162825106
248,0,0.039454715
249,0,0.05773799
250,1,0.611101811
251,0,0.383205849
252,0,0.066681122
253,0,0.638644287
254,0,0.135937204
255,0,0.075484844
256,0,0.058425028
257,0,0.036875219
258,0,0.317924858
259,0,0.071771774
260,0,0.114414406
261,0,0.163109161
262,0,0.431415323
263,0,0.230999411
264,0,0.052690787
265,0,0.040021044
266,0,0.264986602
267,0,0.042691828
268,0,0.119744467
269,1,0.25401747
270,0,0.34765699
271,0,0.06282318
272,1,0.219441381
273,0,0.163653616
274,0,0.078112474
275,0,0.080110129
276,0,0.075856518
277,1,0.241268605
278,0,0.422499045
279,0,0.056668271
280,1,0.229885289
281,0,0.050410008
282,0,0.025134723
283,1,0.142446884
284,0,0.089495466
285,0,0.039529612
286,0,0.194679398
287,0,0.109632091
288,0,0.227725371
289,0,0.058253836
290,0,0.109265545
291,0,0.163052928
292,0,0.286153639
293,0,0.068897817
294,1,0.218328637
295,0,0.050151378
296,0,0.08208861
297,0,0.075259417
298,1,0.267421259
299,0,0.293617333
300,0,0.036659817
301,0,0.135128298
302,0,0.271084585
303,0,0.109924054
304,0,0.057607542
305,0,0.150136666
306,0,0.046375826
307,1,0.075150365
308,0,0.293979186
309,1,0.380355966
310,0,0.241090181
311,0,0.659594415
312,0,0.189651239
313,0,0.136639813
314,0,0.789990827
315,0,0.067877734
316,0,0.141331549
317,1,0.378089244
318,0,0.064939233
319,0,0.085833968
320,0,0.085930605
321,0,0.39229425
322,0,0.07478126
323,1,0.214328563
324,0,0.129846808
325,0,0.076827263
326,0,0.164261198
327,0,0.116132595
328,1,0.406446035
329,0,0.129347464
330,0,0.061048335
331,0,0.113814087
332,0,0.332984443
333,0,0.194350676
334,1,0.332492848
335,0,0.271533773
336,1,0.140739025
337,0,0.158275957
338,0,0.098715291
339,1,0.307987283
340,1,0.469550488
341,1,0.243221751
342,0,0.124682388
343,0,0.15896905
344,0,0.050185625
345,0,0.090424385
346,0,0.253249716
347,0,0.365570364
348,0,0.481002253
349,0,0.159311926
350,0,0.057182187
351,0,0.044048653
352,0,0.068752037
353,0,0.240570091
354,0,0.020255567
355,0,0.204488658
356,0,0.086560219
357,0,0.308740753
358,1,0.16547484
359,0,0.084004949
360,0,0.200963862
361,0,0.024488014
362,1,0.350975488
363,0,0.241664121
364,0,0.30765068
365,0,0.324463035
366,0,0.066742662
367,0,0.509505087
368,0,0.1902678
369,0,0.088277256
370,0,0.193144695
371,0,0.095087597
372,0,0.793929557
373,0,0.08654821
374,0,0.088077396
375,0,0.093857421
376,0,0.091485766
377,1,0.181776358
378,0,0.180963182
379,0,0.155175677
380,1,0.202429096
381,0,0.196776788
382,0,0.147863884
383,0,0.130013861
384,0,0.178948539
385,0,0.423945937
386,0,0.451683325
387,0,0.224202922
388,0,0.226285897
389,0,0.127803007
390,0,0.113548965
391,0,0.137837607
392,0,0.162303174
393,1,0.283197554
394,1,0.143538837
395,0,0.046924683
396,0,0.208255488
397,0,0.048494827
398,0,0.280583619
399,0,0.086960964
400,1,0.768675622
401,0,0.369992539
402,0,0.241063263
403,0,0.122360853
404,0,0.060578383
405,0,0.017391537
406,0,0.125813398
407,1,0.50798615
408,0,0.203436667
409,0,0.137187676
410,0,0.550737741
411,0,0.048410588
412,0,0.045052881
413,0,0.073682731
414,1,0.257389934
415,0,0.103081002
416,0,0.062674746
417,1,0.834327113
418,0,0.128286836
419,0,0.324738058
420,0,0.117622533
421,1,0.798909284
422,0,0.218297814
423,1,0.384929165
424,0,0.189391659
425,0,0.16257739
426,0,0.10095063
427,0,0.358998723
428,0,0.106100611
429,0,0.496838779
430,1,0.371979174
431,1,0.427687166
432,0,0.160856906
433,0,0.381337516
434,1,0.461357281
435,0,0.105907468
436,0,0.239497825
437,0,0.286633608
438,0,0.154255808
439,0,0.274452601
440,0,0.291855185
441,0,0.194766126
442,0,0.127828421
443,0,0.092692086
444,0,0.121606414
445,1,0.327385656
446,0,0.046516392
447,0,0.133718724
448,0,0.096099671
449,1,0.258569998
450,0,0.398493986
451,0,0.527813317
452,0,0.051737678
453,0,0.127180105
454,0,0.408195382
455,0,0.124490304
456,0,0.130303834
457,0,0.037748029
458,0,0.131308215
459,1,0.205643881
460,0,0.052967545
461,0,0.083433183
462,0,0.15417901
463,0,0.132284291
464,1,0.08486847
465,0,0.019748137
466,0,0.136494681
467,0,0.049295511
468,1,0.396062084
469,0,0.120157073
470,0,0.038892926
471,0,0.037300203
472,1,0.188668824
473,0,0.079160379
474,0,0.065034028
475,0,0.163959416
476,1,0.496979698
477,0,0.155227639
478,0,0.293268849
479,0,0.059207436
480,0,0.036745549
481,0,0.058011872
482,0,0.089049942
483,0,0.107066883
484,0,0.321713712
485,1,0.461651093
486,0,0.104506196
487,0,0.128363697
488,1,0.08974431
489,0,0.02846838
490,0,0.535526077
491,0,0.040084468
492,0,0.154843916
493,0,0.10280329
494,1,0.381351999
495,1,0.292640007
496,0,0.105555641
497,0,0.216305183
498,0,0.071465922
499,0,0.05836578
500,1,0.3138828
501,0,0.035796342
502,0,0.143614262
503,1,0.499115212
504,0,0.093585741
505,0,0.283345128
506,0,0.089997761
507,0,0.216574842
508,0,0.507613818
509,0,0.015690507
510,0,0.081005998
511,0,0.132872683
512,0,0.42168489
513,0,0.100094543
514,0,0.056676418
515,1,0.278279867
516,0,0.125202817
517,1,0.257035715
518,0,0.283303464
519,1,0.123765057
520,0,0.237574542
521,1,0.267576427
522,0,0.214797544
523,0,0.065201905
524,0,0.094721419
525,0,0.32977054
526,0,0.048210381
527,0,0.069710671
528,0,0.063303722
529,1,0.67429105
530,0,0.037453959
531,0,0.35295445
532,0,0.055338176
533,0,0.044791518
534,0,0.149683577
535,0,0.331360924
536,1,0.451793764
537,0,0.277112271
538,0,0.103072898
539,1,0.592992032
540,1,0.278474934
541,0,0.062142509
542,0,0.022440218
543,0,0.142909725
544,1,0.401021452
545,1,0.168790963
546,0,0.329317491
547,0,0.141019157
548,0,0.344511141
549,0,0.1542355
550,0,0.016220106
551,0,0.359614
552,1,0.242849582
553,0,0.136493516
554,0,0.120853685
555,0,0.277775133
556,1,0.250640026
557,0,0.369569687
558,1,0.379523877
559,0,0.131140354
560,0,0.475949133
561,0,0.134764388
562,0,0.32252622
563,0,0.074696567
564,1,0.367757887
565,0,0.119822567
566,0,0.047665161
567,1,0.521720957
568,0,0.467214027
569,0,0.082779823
570,0,0.026485026
571,0,0.101070624
572,1,0.224490824
573,0,0.131851815
574,1,0.169503816
575,0,0.075023314
576,0,0.042276549
577,0,0.241493377
578,0,0.037496241
579,0,0.276631762
580,0,0.053056073
581,0,0.116278407
582,1,0.080372412
583,0,0.275607386
584,0,0.314890362
585,1,0.669747865
586,1,0.480533783
587,1,0.453607962
588,0,0.080656767
589,0,0.140564119
590,1,0.460161313
591,1,0.23384511
592,0,0.194090994
593,0,0.092529959
594,0,0.12421622
595,0,0.052852323
596,0,0.522599129
597,0,0.18113326
598,0,0.1560948
599,1,0.791406048
600,0,0.211603466
601,1,0.109588668
602,0,0.047028439
603,0,0.539334176
604,1,0.093352005
605,0,0.073932889
606,0,0.031033198
607,0,0.134360813
608,0,0.073663952
609,0,0.040259893
610,0,0.679381125
611,0,0.13215867
612,0,0.107378888
613,0,0.493583493
614,0,0.069157175
615,0,0.071170907
616,1,0.144630341
617,0,0.198753329
618,1,0.84377577
619,0,0.109991642
620,0,0.077411778
621,0,0.164501095
622,0,0.154138645
623,0,0.478320156
624,0,0.125943049
625,0,0.248886464
626,0,0.14106428
627,0,0.049712001
628,0,0.308394353
629,0,0.093998738
630,0,0.158938576
631,1,0.621324672
632,1,0.742454472
633,0,0.18151407
634,0,0.228781614
635,1,0.09025529
636,0,0.400364392
637,0,0.155994712
638,0,0.14854458
639,0,0.168511675
640,0,0.250978959
641,1,0.314076118
642,0,0.166554551
643,0,0.06230175
644,1,0.491986683
645,1,0.288193175
646,1,0.195992181
647,0,0.0456742
648,0,0.185164595
649,0,0.210417216
650,0,0.051079529
651,0,0.17129274
652,0,0.136033836
653,0,0.255387411
654,1,0.299561064
655,0,0.045440823
656,0,0.070452282
657,0,0.039802046
658,0,0.47849015
659,0,0.364169664
660,0,0.122710577
661,0,0.25330624
662,0,0.238774789
663,0,0.030826527
664,0,0.085560725
665,0,0.101624529
666,0,0.035868403
667,0,0.083150413
668,0,0.029977171
669,0,0.125304512
670,0,0.178774444
671,0,0.625116096
672,0,0.066534486
673,0,0.068195464
674,0,0.075560055
675,0,0.044869988
676,0,0.094541338
677,0,0.260192517
678,1,0.208017018
679,0,0.461087294
680,0,0.207364319
681,0,0.228996843
682,0,0.271718916
683,0,0.277479477
684,0,0.474521312
685,0,0.08607713
686,1,0.270869301
687,0,0.066323796
688,1,0.576649129
689,1,0.526412283
690,0,0.234947999
691,0,0.167072233
692,0,0.20412875
693,0,0.307687206
694,0,0.040282247
695,0,0.169875507
696,0,0.17524819
697,1,0.316789326
698,1,0.526117808
699,0,0.041889656
700,0,0.11901417
701,0,0.139317737
702,0,0.110099893
703,0,0.228389722
704,0,0.046736609
705,0,0.10821455
706,1,0.339854868
707,0,0.116373825
708,0,0.176814239
709,0,0.071659317
710,0,0.213454954
711,0,0.36472302
712,0,0.291918132
713,0,0.195283228
714,0,0.373457974
715,1,0.105788614
716,0,0.097076099
717,0,0.423187515
718,0,0.257030357
719,0,0.227447994
720,0,0.129396706
721,1,0.36817107
722,1,0.164061303
723,0,0.049652776
724,0,0.299255464
725,0,0.060900555
726,0,0.141436294
727,0,0.049894005
728,0,0.029985927
729,0,0.326820616
730,1,0.565710413
731,0,0.032071688
732,0,0.087669145
733,0,0.126818393
734,1,0.38653667
735,1,0.618421232
736,0,0.112691747
737,0,0.396619413
738,0,0.070582454
739,0,0.211273001
740,0,0.139312495
741,0,0.05002172
742,0,0.03378276
743,0,0.039760561
744,1,0.411466007
745,0,0.210569941
746,0,0.060316991
747,0,0.051960947
748,0,0.492114196
749,0,0.06263387
750,0,0.247223512
751,0,0.062862406
752,0,0.59366245
753,0,0.107664427
754,0,0.273524513
755,0,0.283202194
756,0,0.114773762
757,0,0.407354967
758,0,0.040148677
759,0,0.296357686
760,0,0.247206977
761,0,0.385770732
762,1,0.243287465
763,1,0.399966855
764,0,0.189954042
765,1,0.172811422
766,0,0.154719674
767,0,0.684577984
768,1,0.6839324
769,0,0.208207952
770,1,0.477909657
771,1,0.396516649
772,0,0.123762775
773,0,0.03502289
774,0,0.167694183
775,1,0.505534492
776,0,0.056046788
777,1,0.790180297
778,1,0.100900437
779,0,0.023735794
780,0,0.242579348
781,0,0.0665432
782,0,0.046952705
783,0,0.068245158
784,0,0.184871607
785,1,0.4106628
786,0,0.056505892
787,0,0.021495876
788,0,0.207573137
789,0,0.185776642
790,0,0.156667953
791,0,0.053162252
792,0,0.109576398
793,0,0.606859838
794,0,0.177762399
795,0,0.082816794
796,0,0.264975891
797,0,0.185255001
798,0,0.266688705
799,0,0.105950189
800,0,0.299334385
801,0,0.133192928
802,0,0.272425768
803,0,0.142553684
804,0,0.049659028
805,0,0.066464377
806,1,0.325412547
807,0,0.15763413
808,0,0.342391131
809,0,0.380138099
810,0,0.261063728
811,0,0.180200688
812,0,0.349446178
813,0,0.065117801
814,1,0.075120126
815,0,0.097634549
816,0,0.080316181
817,0,0.073533691
818,1,0.551810561
819,0,0.03496901
820,0,0.346162031
821,0,0.291567333
822,0,0.254241766
823,0,0.115756013
824,1,0.568104697
825,0,0.123371445
826,0,0.123068636
827,0,0.147312664
828,0,0.156543413
829,0,0.138630697
830,0,0.232021436
831,0,0.062771154
832,0,0.108164935
833,0,0.138504291
834,0,0.127158756
835,0,0.131425348
836,0,0.152564897
837,0,0.07641872
838,0,0.513050129
839,1,0.182787225
840,0,0.171303015
841,1,0.55379917
842,0,0.207078876
843,0,0.106403561
844,1,0.253294104
845,0,0.280625684
846,0,0.345348415
847,0,0.10553608
848,0,0.287763428
849,0,0.179037332
850,0,0.02812615
851,0,0.487294962
852,1,0.602456737
853,0,0.307999447
854,0,0.116232594
855,0,0.2639313
856,0,0.099719408
857,1,0.680546146
858,0,0.073943076
859,0,0.060917479
860,1,0.518912622
861,1,0.290846088
862,1,0.244502695
863,0,0.087123822
864,0,0.132972511
865,0,0.140455338
866,0,0.084039279
867,0,0.068081383
868,1,0.492987353
869,1,0.417306223
870,0,0.056157502
871,0,0.112337442
872,1,0.551973731
873,0,0.097852675
874,0,0.074716145
875,0,0.107384622
876,0,0.324257769
877,0,0.196847693
878,0,0.109036416
879,0,0.236166515
880,0,0.180423475
881,1,0.578329496
882,1,0.254433591
883,0,0.174366373
884,1,0.357995901
885,0,0.372175636
886,0,0.022321715
887,0,0.187443206
888,0,0.070007929
889,0,0.686797462
890,0,0.187316719
891,0,0.176957683
892,0,0.090998292
893,0,0.196477299
894,1,0.170598714
895,1,0.379043956
896,0,0.084484096
897,0,0.107920095
898,0,0.258732349
899,1,0.328660446
900,0,0.185261406
901,1,0.321443931
902,0,0.066968529
903,0,0.211056121
904,0,0.105620152
905,1,0.435334606
906,1,0.14247328
907,0,0.060508999
908,1,0.43334566
909,0,0.047734361
910,0,0.052269965
911,0,0.061391257
912,0,0.288529504
913,0,0.170308212
914,0,0.181325319
915,0,0.065772081
916,0,0.257753424
917,1,0.067208637
918,0,0.160759139
919,0,0.103760353
920,0,0.218448699
921,0,0.073297604
922,1,0.487822995
923,1,0.280579523
924,0,0.076587474
925,0,0.07703766
926,0,0.175408959
927,0,0.043260169
928,0,0.153645778
929,0,0.488357305
930,0,0.116181421
931,0,0.209032403
932,0,0.16659958
933,0,0.551041392
934,1,0.053500226
935,0,0.044974224
936,0,0.085536818
937,1,0.168853541
938,0,0.292291174
939,0,0.0900422
940,0,0.239153673
941,0,0.057584749
942,0,0.134972693
943,1,0.38858524
944,0,0.308842871
945,0,0.144524408
946,0,0.04123499
947,1,0.247758744
948,1,0.117338977
949,0,0.418098078
950,1,0.421008867
951,0,0.213100635
952,0,0.260959243
953,0,0.701720941
954,0,0.076393181
955,1,0.155169191
956,0,0.383492701
957,0,0.106103756
958,0,0.410305015
959,0,0.107497087
960,0,0.118636213
961,0,0.132196731
962,0,0.164737175
963,0,0.04814968
964,1,0.550551199
965,1,0.293289232
966,0,0.157561311
967,0,0.104227278
968,0,0.167935438
969,0,0.178601796
970,0,0.616978528
971,0,0.233730543
972,0,0.019566753
973,0,0.376345957
974,0,0.099863739
975,0,0.133758553
976,0,0.099611969
977,1,0.387061271
978,0,0.225892015
979,0,0.465493373
980,0,0.338465679
981,0,0.120513123
982,0,0.50059171
983,0,0.033287459
984,1,0.422914501
985,0,0.02615443
986,0,0.084367937
987,0,0.188408613
988,1,0.170514472
989,0,0.04570983
990,1,0.495091375
991,0,0.157383577
992,0,0.088960014
993,0,0.225497654
994,0,0.15464959
995,0,0.216845188
996,0,0.025354086
997,0,0.069673171
998,0,0.329255888
999,0,0.117273101
1000,0,0.266230683
1001,0,0.514528883
1002,0,0.107310021
1003,0,0.118980252
1004,1,0.363467351
1005,0,0.246527207
1006,1,0.555642566
1007,0,0.164874459
1008,0,0.099133782
1009,1,0.249400404
1010,0,0.396288968
1011,1,0.160873652
1012,0,0.059660497
1013,0,0.048508834
1014,0,0.019298563
1015,0,0.127412753
1016,1,0.105140516
1017,0,0.35064412
1018,0,0.381372926
1019,1,0.548525645
1020,0,0.095754335
1021,1,0.384211199
1022,0,0.04853477
1023,0,0.246217369
1024,0,0.033849246
1025,0,0.127944593
1026,0,0.15328414
1027,0,0.09996673
1028,0,0.121199696
1029,0,0.034559091
1030,0,0.154202753
1031,0,0.194756347
1032,0,0.07809047
1033,0,0.052395134
1034,0,0.03818475
1035,0,0.087243099
1036,0,0.087226905
1037,0,0.123593922
1038,0,0.032577744
1039,0,0.043274331
1040,0,0.534863122
1041,0,0.436138546
1042,0,0.077396057
1043,1,0.31605088
1044,0,0.117162043
1045,0,0.110450935
1046,0,0.144667589
1047,1,0.262875024
1048,1,0.367953537
1049,0,0.130735816
1050,1,0.367556401
1051,0,0.031601601
1052,0,0.22122543
1053,0,0.332268864
1054,0,0.243713495
1055,0,0.122090788
1056,0,0.573619017
1057,0,0.097185232
1058,1,0.452373704
1059,0,0.226501978
1060,0,0.158675252
1061,0,0.507074435
1062,0,0.080913405
1063,1,0.313374175
1064,0,0.05006971
1065,0,0.02304421
1066,1,0.182611237
1067,1,0.209923722
1068,0,0.199115582
1069,1,0.418368316
1070,1,0.192927987
1071,1,0.651822265
1072,0,0.310462776
1073,0,0.03038274
1074,0,0.139003685
1075,0,0.074080226
1076,0,0.147404696
1077,0,0.140546357
1078,0,0.116966512
1079,0,0.261138021
1080,0,0.048301841
1081,0,0.221269752
1082,0,0.212581392
1083,1,0.157034841
1084,0,0.14516808
1085,0,0.049094188
1086,1,0.17379223
1087,1,0.133622591
1088,0,0.151124215
1089,0,0.014531302
1090,0,0.249424484
1091,0,0.182115301
1092,0,0.063865802
1093,1,0.083563825
1094,0,0.058640419
1095,0,0.095511199
1096,1,0.080914489
1097,1,0.188310311
1098,0,0.127536431
1099,0,0.129172865
1100,0,0.056428098
1101,0,0.123948245
1102,0,0.073216693
1103,0,0.153993953
1104,0,0.360226341
1105,0,0.073437027
1106,0,0.434691752
1107,0,0.208021936
1108,1,0.441632507
1109,0,0.307010678
1110,0,0.08939953
1111,1,0.305666742
1112,1,0.423783688
1113,0,0.3081805
1114,1,0.198579115
1115,1,0.719028873
1116,0,0.148303305
1117,0,0.07292464
1118,1,0.374504601
1119,0,0.292277947
1120,0,0.094298199
1121,0,0.183927283
1122,0,0.080043087
1123,1,0.619284213
1124,1,0.110272272
1125,1,0.126023672
1126,0,0.586045078
1127,0,0.220211214
1128,0,0.338053604
1129,0,0.221447789
1130,1,0.074483765
1131,0,0.182936993
1132,0,0.199893871
1133,0,0.048400087
1134,0,0.041061859
1135,0,0.040392815
1136,0,0.225543133
1137,0,0.015516589
1138,0,0.272323254
1139,0,0.45155694
1140,0,0.338845931
1141,1,0.266524009
1142,0,0.095401333
1143,0,0.151100467
1144,0,0.072840553
1145,1,0.201500364
1146,0,0.082759561
1147,0,0.317207175
1148,0,0.267980412
1149,0,0.04369973
1150,0,0.135621568
1151,0,0.156530531
1152,0,0.062041733
1153,0,0.240528224
1154,1,0.584709982
1155,0,0.079602614
1156,0,0.156128402
1157,0,0.109316724
1158,0,0.185526599
1159,1,0.797991915
1160,0,0.121947366
1161,1,0.133005644
1162,1,0.210526979
1163,0,0.144866853
1164,0,0.124449
1165,0,0.106168071
1166,0,0.648232962
1167,0,0.291915119
1168,0,0.080233516
1169,0,0.110155034
1170,0,0.117096321
1171,0,0.080117747
1172,1,0.365825701
1173,0,0.28123218
1174,0,0.248967031
1175,1,0.361626384
1176,0,0.139184194
1177,0,0.100635792
1178,0,0.044425159
1179,1,0.12403147
1180,0,0.284355912
1181,0,0.039466299
1182,0,0.080184408
1183,1,0.183133918
1184,0,0.04447578
1185,0,0.514321349
1186,0,0.068419295
1187,0,0.087300088
1188,1,0.23906168
1189,0,0.118268657
1190,1,0.094652788
1191,0,0.041402467
1192,0,0.079354237
1193,1,0.647482504
1194,1,0.172570104
1195,0,0.082278093
1196,0,0.125325636
1197,0,0.170075641
1198,0,0.172355274
1199,0,0.193638816
1200,0,0.069252158
1201,0,0.184503154
1202,1,0.525025747
1203,0,0.055712312
1204,0,0.066321018
1205,0,0.096971
1206,0,0.544281734
1207,0,0.096130774
1208,0,0.076417406
1209,0,0.209808571
1210,0,0.131521423
1211,1,0.260091593
1212,0,0.063311578
1213,1,0.177785768
1214,0,0.027058118
1215,1,0.112647949
1216,1,0.470649105
1217,0,0.04184212
1218,0,0.08855195
1219,1,0.087475021
1220,1,0.194366371
1221,0,0.149673946
1222,0,0.170642345
1223,0,0.285754648
1224,0,0.09120069
1225,0,0.469425256
1226,0,0.279707738
1227,0,0.511700717
1228,0,0.168705253
1229,0,0.210114528
1230,0,0.054738533
1231,0,0.109403178
1232,0,0.099569763
1233,1,0.480622921
1234,0,0.431944542
1235,0,0.511708739
1236,0,0.537722085
1237,0,0.103786494
1238,0,0.167606122
1239,0,0.025641373
1240,0,0.074348607
1241,0,0.070867904
1242,0,0.041074151
1243,0,0.085601998
1244,0,0.066380116
1245,0,0.458820089
1246,1,0.36612241
1247,0,0.409639354
1248,0,0.058716906
1249,0,0.041372563
1250,0,0.033433607
1251,0,0.12321246
1252,1,0.515776879
1253,0,0.399257329
1254,0,0.753084658
1255,1,0.31007494
1256,0,0.089333908
1257,0,0.232562263
1258,0,0.085069094
1259,0,0.158377079
1260,0,0.191972673
1261,1,0.192677764
1262,0,0.277488935
1263,0,0.155280769
1264,0,0.382447441
1265,0,0.040101884
1266,1,0.550799817
1267,0,0.215059308
1268,0,0.136192258
1269,0,0.403061015
1270,0,0.123351125
1271,0,0.212153051
1272,0,0.089911108
1273,0,0.499431922
1274,1,0.109581535
1275,0,0.154891761
1276,0,0.051517418
1277,1,0.321093515
1278,0,0.076731197
1279,0,0.302941129
1280,0,0.096963324
1281,0,0.019338079
1282,1,0.315184376
1283,0,0.042288924
1284,0,0.127039533
1285,0,0.286876171
1286,0,0.511256158
1287,0,0.186854848
1288,0,0.321481526
1289,0,0.221218162
1290,1,0.358196854
1291,0,0.246428572
1292,0,0.268923739
1293,0,0.093817631
1294,0,0.036824659
1295,0,0.040595736
1296,0,0.249291301
1297,0,0.197876327
1298,0,0.042691828
1299,0,0.09989328
1300,0,0.191470843
1301,0,0.1996333
1302,0,0.052886783
1303,0,0.157203117
1304,1,0.354348841
1305,0,0.173766171
1306,1,0.531793762
1307,1,0.167080351
1308,0,0.260008591
1309,0,0.046965751
1310,0,0.113053945
1311,0,0.104161231
1312,0,0.11018623
1313,1,0.070907694
1314,0,0.046242463
1315,1,0.354003685
1316,0,0.151796465
1317,0,0.045998462
1318,1,0.12863338
1319,1,0.109783797
1320,0,0.156786341
1321,0,0.146727981
1322,0,0.147703759
1323,0,0.341062682
1324,1,0.367317169
1325,0,0.070618836
1326,0,0.224791242
1327,0,0.256326264
1328,0,0.023543943
1329,1,0.638245488
1330,1,0.243455772
1331,0,0.325176372
1332,0,0.1208284
1333,0,0.067779523
1334,0,0.459098676
1335,0,0.071179851
1336,1,0.310195438
1337,0,0.199226427
1338,0,0.304753555
1339,0,0.206218304
1340,0,0.127868431
1341,1,0.095419689
1342,1,0.304042176
1343,0,0.395970315
1344,0,0.222000437
1345,1,0.507853688
1346,0,0.105659055
1347,0,0.041248482
1348,0,0.051790155
1349,0,0.047973484
1350,0,0.208425991
1351,0,0.147339308
1352,1,0.566346189
1353,1,0.289347544
1354,0,0.076773823
1355,1,0.144793975
1356,0,0.057168385
1357,0,0.147913094
1358,0,0.074614416
1359,0,0.112520958
1360,0,0.081195734
